***** On-prem ER Circuit Routes *****
LocPrf    Network             NextHop         Path                       Weight
--------  ------------------  --------------  -------------------------  --------
          10.0.0.0/8          192.168.1.12    65515                      0
          10.0.0.0/8          192.168.1.13    65515                      0
          10.0.0.0/8          192.168.2.13    65515                      0
          10.0.0.0/8          192.168.2.12*   65515                      0
          10.10.0.0/25        169.254.57.161  65010 12076 65001 16550 ?  0
          10.10.0.0/24        192.168.1.13    65515                      0
          10.10.0.0/24        192.168.1.12*   65515                      0
          10.10.0.128/25      169.254.57.161  65010 12076 65001 16550 ?  0
          10.20.0.0/25        192.168.1.13    65515                      0
          10.20.0.0/25        192.168.1.12*   65515                      0
          10.20.0.0/24        192.168.2.12    65515                      0
          10.20.0.0/24        192.168.2.13*   65515                      0
          10.20.0.128/25      192.168.1.13    65515                      0
          10.20.0.128/25      192.168.1.12*   65515                      0
          10.154.0.0/25       169.254.57.161  65010 16550 ?              0
          10.154.0.0/24       192.168.1.13    65515                      0
          10.154.0.0/24       192.168.1.12*   65515                      0
          10.154.0.128/25     169.254.57.161  65010 16550 ?              0
          169.254.23.72/30    169.254.57.161  65010 12076 ?              0
          169.254.36.80/30    169.254.57.161  65010 ?                    0
          169.254.57.232/30   169.254.57.161  65010 12076 ?              0
          169.254.207.32/29   169.254.57.161  65010 12076 ?              0
          169.254.232.120/29  169.254.57.161  65010 ?                    0
          172.16.0.0/12       192.168.1.12    65515                      0
          172.16.0.0/12       192.168.1.13    65515                      0
          172.16.0.0/12       192.168.2.13    65515                      0
          172.16.0.0/12       192.168.2.12*   65515                      0
          172.16.1.0/24       192.168.1.12    65515                      0
          172.16.1.0/24       192.168.1.13*   65515                      0
          172.16.2.0/24       192.168.1.12    65515                      0
          172.16.2.0/24       192.168.1.13*   65515                      0
          172.16.3.0/24       192.168.1.12    65515                      0
          172.16.3.0/24       192.168.1.13*   65515                      0
          172.16.4.0/24       192.168.2.12    65515                      0
          172.16.4.0/24       192.168.2.13*   65515                      0
          172.16.5.0/24       192.168.2.12    65515                      0
          172.16.5.0/24       192.168.2.13*   65515                      0
          172.16.6.0/24       192.168.2.12    65515                      0
          172.16.6.0/24       192.168.2.13*   65515                      0
          192.168.0.0/16      192.168.1.12    65515                      0
          192.168.0.0/16      192.168.1.13    65515                      0
          192.168.0.0/16      192.168.2.13    65515                      0
          192.168.0.0/16      192.168.2.12*   65515                      0
          192.168.1.0/24      192.168.1.12    65515                      0
          192.168.1.0/24      192.168.1.13*   65515                      0
          192.168.2.0/24      192.168.2.12    65515                      0
          192.168.2.0/24      192.168.2.13*   65515                      0
***** AVS Prod ER Circuit Routes *****
LocPrf    Network             NextHop         Path                       Weight
--------  ------------------  --------------  -------------------------  --------
          10.0.0.0/8          192.168.1.12    65515                      0
          10.0.0.0/8          192.168.1.13*   65515                      0
          10.10.0.0/25        169.254.57.233  65001 16550 ?              0
          10.10.0.0/24        192.168.1.13    65515                      0
          10.10.0.0/24        192.168.1.12*   65515                      0
          10.10.0.128/25      169.254.57.233  65001 16550 ?              0
          10.20.0.0/25        192.168.1.13    65515                      0
          10.20.0.0/25        192.168.1.12*   65515                      0
          10.20.0.0/24        169.254.57.233  65001 12076 65010 12076    0
          10.20.0.128/25      192.168.1.13    65515                      0
          10.20.0.128/25      192.168.1.12*   65515                      0
          10.154.0.0/25       169.254.57.233  65001 12076 65010 16550 ?  0
          10.154.0.0/24       192.168.1.13    65515                      0
          10.154.0.0/24       192.168.1.12*   65515                      0
          10.154.0.128/25     169.254.57.233  65001 12076 65010 16550 ?  0
          169.254.23.72/30    169.254.57.233  65001 ?                    0
          169.254.36.80/30    169.254.57.233  65001 12076 ?              0
          169.254.57.160/30   169.254.57.233  65001 12076 ?              0
          169.254.207.32/29   169.254.57.233  65001 ?                    0
          169.254.232.120/29  169.254.57.233  65001 12076 ?              0
          172.16.0.0/12       192.168.1.12    65515                      0
          172.16.0.0/12       192.168.1.13*   65515                      0
          172.16.1.0/24       192.168.1.13    65515                      0
          172.16.1.0/24       192.168.1.12*   65515                      0
          172.16.2.0/24       192.168.1.13    65515                      0
          172.16.2.0/24       192.168.1.12*   65515                      0
          172.16.3.0/24       192.168.1.13    65515                      0
          172.16.3.0/24       192.168.1.12*   65515                      0
          172.16.4.0/24       169.254.57.233  65001 12076 65010 12076    0
          172.16.5.0/24       169.254.57.233  65001 12076 65010 12076    0
          172.16.6.0/24       169.254.57.233  65001 12076 65010 12076    0
          192.168.0.0/16      192.168.1.12    65515                      0
          192.168.0.0/16      192.168.1.13*   65515                      0
          192.168.1.0/24      192.168.1.13    65515                      0
          192.168.1.0/24      192.168.1.12*   65515                      0
          192.168.2.0/24      169.254.57.233  65001 12076 65010 12076    0
***** AVS DR ER Circuit Routes *****
LocPrf    Network            NextHop        Path           Weight
--------  -----------------  -------------  -------------  --------
          10.0.0.0/8         192.168.1.12   65515          0
          10.0.0.0/8         192.168.1.13   65515          0
          10.0.0.0/8         192.168.2.13   65515          0
          10.0.0.0/8         192.168.2.12*  65515          0
          10.10.0.0/24       192.168.1.13   65515          0
          10.10.0.0/24       192.168.1.12*  65515          0
          10.20.0.0/26       169.254.58.49  65002 16550 ?  0
          10.20.0.0/25       192.168.1.13   65515          0
